result_id,fixture_id,home_score,away_score,player_id
1,1,0,4,
2,2,2,0,
3,3,2,2,
4,4,0,2,
5,5,0,0,
6,6,1,3,
7,7,1,1,
8,8,5,3,
9,9,1,4,
10,10,1,4,
11,11,1,0,
12,12,3,0,
13,13,1,1,
14,14,1,1,
15,15,1,0,
16,16,1,0,
17,17,3,0,
18,18,2,3,
19,19,2,3,
20,20,2,0,
21,21,3,0,
22,22,0,1,
23,23,1,1,
24,24,0,1,
25,25,1,0,
26,26,3,3,
27,27,0,0,
28,28,1,2,
29,29,1,1,
30,30,5,0,
31,31,3,1,
32,32,0,2,
33,33,1,1,
34,34,1,0,
35,35,2,2,
36,36,4,0,
37,37,2,3,
38,38,0,2,
39,39,1,0,
40,40,0,0,
41,41,1,2,
42,42,2,2,
43,43,0,1,
44,44,3,1,
45,45,0,2,
46,46,0,1,
47,47,1,3,
48,48,2,0,
49,49,4,0,
50,50,2,0,
51,51,2,0,
52,52,3,1,
53,53,0,5,
54,54,2,1,
55,55,0,1,
56,56,2,0,
57,57,1,0,
58,58,0,1,
59,59,1,4,
60,60,1,3,
61,61,1,3,
62,62,3,0,
63,63,2,0,
64,64,2,0,
65,65,2,1,
66,66,4,1,
67,67,2,0,
68,68,1,2,
69,69,2,1,
70,70,0,2,
71,71,2,1,
72,72,2,0,
73,73,2,0,
74,74,2,0,
75,75,0,1,
76,76,0,2,
77,77,1,2,
78,78,2,0,
79,79,1,2,
80,80,4,3,
81,81,2,2,
82,82,4,2,
83,83,1,1,
84,84,2,0,
85,85,1,2,
86,86,3,2,
87,87,3,1,
88,88,0,2,
89,89,2,0,
90,90,2,1,
91,91,3,1,
92,92,2,1,
93,93,1,2,
94,94,0,0,
95,95,1,1,
96,96,2,0,
97,97,3,2,
98,98,1,3,
99,99,1,0,
100,100,0,1,
101,101,2,0,
102,102,5,1,
103,103,2,0,
104,104,1,3,
105,105,5,0,
106,106,1,0,
107,107,2,0,
108,108,2,1,
109,109,1,0,
110,110,0,3,
111,111,2,0,
112,112,2,0,
113,113,0,0,
114,114,2,1,
115,115,2,0,
116,116,1,1,
117,117,1,4,
118,118,1,5,
119,119,3,1,
120,120,1,1,
121,121,3,1,
122,122,6,0,
123,123,0,3,
124,124,3,0,
125,125,1,2,
126,126,1,2,
127,127,1,1,
128,128,1,0,
129,129,1,3,
130,130,0,2,
131,131,1,1,
132,132,0,1,
133,133,3,1,
134,134,1,0,
135,135,5,0,
136,136,1,3,
137,137,1,1,
138,138,2,0,
139,139,0,0,
140,140,2,0,
141,141,4,0,
142,142,1,1,
143,143,1,1,
144,144,2,1,
145,145,3,0,
146,146,4,2,
147,147,2,1,
148,148,0,1,
149,149,2,2,
150,150,2,1,
151,151,0,3,
152,152,1,2,
153,153,4,3,
154,154,4,3,
155,155,3,0,
156,156,2,1,
157,157,2,1,
158,158,0,0,
159,159,2,0,
160,160,2,0,
161,161,3,0,
162,162,2,0,
163,163,0,1,
164,164,1,0,
165,165,1,2,
166,166,2,1,
167,167,0,0,
168,168,1,2,
169,169,0,1,
170,170,2,1,
171,171,2,1,
172,172,0,2,
173,173,0,0,
174,174,1,2,
175,175,2,2,
176,176,3,3,
177,177,0,2,
178,178,0,1,
179,179,4,1,
180,180,0,3,
181,181,0,1,
182,182,2,0,
183,183,1,3,
184,184,4,1,
185,185,0,1,
186,186,1,0,
187,187,1,1,
188,188,1,0,
189,189,1,3,
190,190,5,1,
191,191,1,2,
192,192,1,1,
193,193,4,0,
194,194,5,0,
195,195,3,1,
196,196,2,1,
197,197,1,5,
198,198,0,0,
199,199,1,1,
200,200,1,2,
201,201,2,6,
202,202,3,1,
203,203,2,3,
204,204,0,0,
205,205,0,1,
206,206,1,3,
207,207,0,2,
208,208,2,0,
209,209,1,5,
210,210,0,2,
211,211,3,2,
212,212,1,2,
213,213,3,1,
214,214,3,1,
215,215,2,0,
216,216,1,0,
217,217,0,1,
218,218,1,0,
219,219,3,2,
220,220,0,2,
221,221,2,2,
222,222,1,2,
223,223,0,4,
224,224,1,0,
225,225,4,1,
226,226,1,0,
227,227,1,0,
228,228,3,2,
229,229,2,0,
230,230,0,2,
231,231,2,1,
232,232,1,1,
233,233,1,3,
234,234,1,1,
235,235,2,2,
236,236,3,1,
237,237,3,1,
238,238,3,1,
239,239,2,1,
240,240,1,2,
241,241,2,0,
242,242,4,2,
243,243,1,0,
244,244,3,1,
245,245,0,3,
246,246,2,0,
247,247,1,2,
248,248,2,0,
249,249,2,2,
250,250,2,1,
251,251,1,2,
252,252,1,2,
253,253,0,2,
254,254,3,2,
255,255,1,0,
256,256,0,0,
257,257,0,4,
258,258,1,1,
259,259,0,3,
260,260,3,1,
261,261,2,0,
262,262,0,0,
263,263,3,1,
264,264,1,1,
265,265,2,1,
266,266,2,1,
267,267,0,0,
268,268,1,1,
269,269,1,1,
270,270,0,1,
271,271,1,0,
272,272,6,1,
273,273,3,1,
274,274,1,2,
275,275,1,0,
276,276,3,1,
277,277,0,1,
278,278,4,2,
279,279,1,1,
280,280,2,3,
281,281,0,1,
282,282,0,4,
283,283,2,2,
284,284,2,1,
285,285,0,3,
286,286,4,1,
287,287,0,0,
288,288,1,0,
289,289,3,0,
290,290,1,1,
291,291,3,1,
292,292,2,0,
293,293,2,2,
294,294,0,2,
295,295,5,0,
296,296,0,1,
297,297,4,2,
298,298,0,1,
299,299,0,0,
300,300,0,1,
301,301,1,5,
302,302,0,3,
303,303,0,0,
304,304,1,0,
305,305,1,2,
306,306,1,1,
307,307,0,1,
308,308,0,4,
309,309,3,2,
310,310,1,0,
311,311,2,1,
312,312,1,2,
313,313,3,1,
314,314,2,0,
315,315,2,0,
316,316,0,2,
317,317,2,0,
318,318,3,0,
319,319,0,2,
320,320,1,1,
321,321,0,0,
322,322,2,0,
323,323,1,1,
324,324,3,0,
325,325,1,1,
326,326,3,1,
327,327,4,0,
328,328,0,5,
329,329,0,0,
330,330,1,2,
331,331,2,2,
332,332,1,0,
333,333,1,3,
334,334,1,2,
335,335,3,0,
336,336,1,2,
337,337,4,1,
338,338,0,1,
339,339,4,2,
340,340,1,2,
341,341,2,3,
342,342,0,2,
343,343,2,1,
344,344,1,2,
345,345,2,0,
346,346,1,1,
347,347,0,1,
348,348,0,2,
349,349,2,2,
350,350,2,1,
351,351,0,3,
352,352,2,1,
353,353,4,2,
354,354,1,2,
355,355,1,1,
356,356,3,1,
357,357,0,0,
358,358,1,2,
359,359,2,2,
360,360,1,0,
361,361,0,2,
362,362,6,1,
363,363,1,3,
364,364,3,2,
365,365,0,0,
366,366,3,1,
367,367,2,1,
368,368,2,0,
369,369,1,2,
370,370,3,2,
371,371,4,0,
372,372,0,0,
373,373,0,2,
374,374,1,2,
375,375,0,2,
376,376,0,3,
377,377,2,0,
378,378,2,0,
379,379,2,2,
380,380,2,1,
381,381,3,1,
382,382,5,4,
383,383,1,2,
384,384,0,1,
385,385,3,0,
386,386,1,0,
387,387,4,0,
388,388,0,1,
389,389,2,0,
390,390,1,2,
391,391,0,0,
392,392,1,0,
393,393,3,1,
394,394,3,1,
395,395,1,1,
396,396,0,1,
397,397,1,0,
398,398,5,0,
399,399,0,0,
400,400,1,1,
401,401,1,0,
402,402,2,1,
403,403,0,2,
404,404,1,0,
405,405,1,2,
406,406,1,0,
407,407,2,0,
408,408,2,1,
409,409,1,4,
410,410,0,1,
411,411,2,1,
412,412,0,1,
413,413,0,2,
414,414,5,0,
415,415,0,0,
416,416,0,0,
417,417,1,0,
418,418,5,0,
419,419,1,1,
420,420,4,1,
421,421,0,0,
422,422,2,2,
423,423,0,0,
424,424,1,2,
425,425,0,2,
426,426,1,1,
427,427,1,1,
428,428,0,1,
429,429,2,1,
430,430,1,3,
431,431,3,0,
432,432,1,1,
433,433,1,0,
434,434,3,2,
435,435,2,1,
436,436,2,3,
437,437,1,1,
438,438,3,2,
439,439,2,3,
440,440,1,1,
441,441,1,2,
442,442,1,2,
443,443,1,2,
444,444,1,1,
445,445,2,2,
446,446,0,0,
447,447,1,3,
448,448,3,0,
449,449,1,3,
450,450,3,0,
451,451,1,2,
452,452,2,2,
453,453,1,0,
454,454,2,0,
455,455,0,2,
456,456,1,2,
457,457,5,0,
458,458,1,2,
459,459,0,2,
460,460,2,1,
461,461,0,2,
462,462,1,4,
463,463,3,0,
464,464,2,1,
465,465,0,3,
466,466,1,4,
467,467,3,0,
468,468,0,0,
469,469,2,0,
470,470,2,1,
471,471,2,3,
472,472,1,0,
473,473,2,1,
474,474,2,0,
475,475,1,0,
476,476,2,0,
477,477,4,1,
478,478,0,0,
479,479,1,1,
480,480,2,1,
481,481,0,3,
482,482,2,1,
483,483,0,1,
484,484,1,0,
485,485,1,2,
486,486,4,1,
487,487,1,1,
488,488,4,1,
489,489,2,2,
490,490,1,1,
491,491,3,0,
492,492,0,2,
493,493,1,0,
494,494,4,1,
495,495,5,1,
496,496,2,0,
497,497,1,0,
498,498,1,1,
499,499,3,1,
500,500,1,0,
501,501,4,1,
502,502,2,2,
503,503,1,1,
504,504,5,1,
505,505,2,3,
506,506,2,0,
507,507,1,1,
508,508,3,1,
509,509,2,1,
510,510,1,1,
511,511,2,0,
512,512,0,0,
513,513,3,0,
514,514,1,1,
515,515,1,1,
516,516,2,1,
517,517,0,3,
518,518,0,3,
519,519,1,1,
520,520,3,1,
521,521,1,0,
522,522,1,1,
523,523,3,1,
524,524,1,1,
525,525,2,0,
526,526,2,0,
527,527,1,1,
528,528,0,1,
529,529,4,1,
530,530,0,4,
531,531,3,0,
532,532,4,3,
533,533,2,1,
534,534,4,0,
535,535,2,0,
536,536,2,2,
537,537,1,1,
538,538,1,4,
539,539,1,0,
540,540,0,0,
541,541,1,1,
542,542,2,2,
543,543,3,1,
544,544,2,1,
545,545,0,2,
546,546,1,2,
547,547,0,2,
548,548,0,1,
549,549,3,0,
550,550,1,2,
551,551,2,2,
552,552,1,1,
553,553,0,0,
554,554,0,0,
555,555,1,2,
556,556,0,0,
557,557,2,1,
558,558,0,0,
559,559,5,0,
560,560,2,1,
561,561,2,3,
562,562,0,1,
563,563,5,0,
564,564,0,0,
565,565,2,1,
566,566,2,2,
567,567,1,1,
568,568,2,0,
569,569,3,3,
570,570,5,2,
571,571,2,2,
572,572,0,3,
573,573,2,3,
574,574,1,1,
575,575,3,1,
576,576,1,1,
577,577,4,0,
578,578,1,0,
579,579,0,0,
580,580,3,3,
581,581,3,1,
582,582,0,4,
583,583,1,2,
584,584,4,1,
585,585,0,3,
586,586,1,4,
587,587,1,0,
588,588,0,0,
589,589,1,0,
590,590,0,3,
591,591,0,0,
592,592,2,0,
593,593,1,0,
594,594,0,0,
595,595,0,4,
596,596,1,4,
597,597,0,1,
598,598,1,3,
599,599,2,1,
600,600,1,0,
601,601,1,2,
602,602,1,1,
603,603,1,1,
604,604,2,3,
605,605,5,1,
606,606,1,0,
607,607,2,0,
608,608,2,2,
609,609,1,0,
610,610,1,0,
611,611,2,1,
612,612,1,1,
613,613,1,3,
614,614,0,0,
615,615,1,1,
616,616,2,1,
617,617,1,0,
618,618,2,0,
619,619,1,5,
620,620,3,1,
621,621,0,3,
622,622,2,1,
623,623,4,0,
624,624,1,0,
625,625,1,2,
626,626,5,0,
627,627,2,2,
628,628,2,4,
629,629,2,1,
630,630,0,0,
631,631,1,2,
632,632,0,1,
633,633,4,1,
634,634,1,1,
635,635,1,1,
636,636,0,0,
637,637,0,3,
638,638,1,0,
639,639,2,1,
640,640,1,1,
641,641,2,2,
642,642,2,0,
643,643,4,1,
644,644,0,4,
645,645,3,0,
646,646,0,2,
647,647,2,2,
648,648,2,0,
649,649,4,0,
650,650,2,0,
651,651,3,2,
652,652,1,0,
653,653,3,1,
654,654,1,0,
655,655,1,4,
656,656,0,1,
657,657,0,1,
658,658,0,1,
